Id,Label,timeset,locale,agerank
147,Basalt Sculpture,,ar_IQ,
148,Beaten Gold Mask,,el_GR,
149,Bedrock Relief,,it_IT,
150,Bronze Sculpture,,fa_FA,
151,Bronze Sculpture,,el_GR,
152,Bronze Sculpture,,el_GR,
153,Bronze Statue,,el_GR,
154,Bronze Statue,,el_GR,
155,Bronze Statue,,el_GR,
156,Bronze Statue,,el_GR,
157,Bronze Statue,,el_GR,
158,Bronze Statue,,el_GR,
159,Bronze Statue,,el_GR,
160,Bronze Statue,,el_GR,
161,Bronze Statue,,el_GR,
162,Bronze Statue,,el_GR,
163,Bronze Statue,,el_GR,
164,Bronze Statue,,it_IT,
165,Bronze Statue,,it_IT,
166,Bronze Statue,,it_IT,
167,Cave Painting,,af_NA,
168,Cave Painting,,s_ES,
169,Cave Painting,,fr_FR,
170,Cave Painting,,fr_FR,
171,Cave Painting,,fr_FR,
172,Cave Painting,,fr_FR,
173,Cave Relief,,fr_FR,
174,Cave Relief,,fr_FR,
175,Ceiling Painting,,el_GR,
176,Container,,ar_IQ,
177,Container,,ar_IQ,
178,Copper Sculpture,,ar_IQ,
179,Diorite Sculpture,,ar_IQ,
180,Diorite Sculpture,,ar_EG,
181,Folio,,ro_IT,
182,Fresco,,ar_EG,
183,Fresco,,ar_EG,
184,Fresco,,el_GR,
185,Fresco,,el_GR,
186,Glazed Brick,,fa_FA,
187,Glazed Brick,,fa_FA,
188,Gold Cast Mask,,ar_EG,
189,Gold Cast Scarcophagus,,ar_EG,
190,Granite Sculpture,,ar_EG,
191,Granite Sculpture,,ar_EG,
192,Granite Sculpture,,ar_EG,
193,Gypsum Relief,,fa_FA,
194,Gypsum Relief,,fa_FA,
195,Ivory Sculpture,,de_DE,
196,Limestone Relief,,de_AT,
197,Limestone Relief,,ar_SY,
198,Limestone Relief,,ar_EG,
199,Limestone Relief,,ar_EG,
200,Limestone Relief,,ar_EG,
201,Limestone Relief,,el_GR,
202,Limestone Sculpture,,tr_TR,
203,Limestone Sculpture,,fa_FA,
204,Limestone Sculpture,,ar_EG,
205,Limestone Sculpture,,ar_EG,
206,Limestone Sculpture,,el_GR,
207,Marble Bust,,el_GR,
208,Marble Relief,,el_GR,
209,Marble Relief,,el_GR,
210,Marble Relief,,el_GR,
211,Marble Relief,,el_GR,
212,Marble Relief,,el_GR,
213,Marble Relief,,el_GR,
214,Marble Relief,,el_GR,
215,Marble Relief,,el_GR,
216,Marble Relief,,el_GR,
217,Marble Relief,,el_GR,
218,Marble Relief,,ro_IT,
219,Marble Relief,,ro_IT,
220,Marble Sculpture,,ar_IQ,
221,Marble Sculpture,,el_GR,
222,Marble Sculpture,,el_GR,
223,Marble Sculpture,,el_GR,
224,Marble Sculpture,,el_GR,
225,Marble Sculpture,,el_GR,
226,Marble Sculpture,,el_GR,
227,Marble Sculpture,,el_GR,
228,Marble Sculpture,,el_GR,
229,Marble Sculpture,,el_GR,
230,Marble Sculpture,,el_GR,
231,Marble Sculpture,,el_GR,
232,Marble Sculpture,,el_GR,
233,Marble Sculpture,,el_GR,
234,Marble Sculpture,,el_GR,
235,Marble Sculpture,,ro_IT,
236,Marble Sculpture,,ro_IT,
237,Marble Statue,,el_GR,
238,Marble Statue,,el_GR,
239,Marble Statue,,el_GR,
240,Marble Statue,,el_GR,
241,Mosaic,,el_GR,
242,Multimedia Sculpture,,ar_JO,
243,Multimedia Sculpture,,ar_IQ,
244,Multimedia Sculpture,,ar_SY,
245,Multimedia Sculpture,,ar_EG,
246,Multimedia Sculpture,,el_GR,
247,Multimedia Sculpture,,el_GR,
248,Mural,,ar_SY,
249,Mural,,it_IT,
250,Mural,,it_IT,
251,Painted Chest,,ar_EG,
252,Painted Limestone Scarcophagus,,el_GR,
253,Painted Papyrus,,ar_EG,
254,Painted Plaster,,el_GR,
255,Painted Vessel,,el_GR,
256,Painted Vessel,,el_GR,
257,Painted Vessel,,el_GR,
258,Painted Vessel,,el_GR,
259,Painted Vessel,,el_GR,
260,Painted Vessel,,el_GR,
261,Painted Vessel,,el_GR,
262,Painted Vessel,,el_GR,
263,Painted Vessel,,el_GR,
264,Painted Vessel,,el_GR,
265,Painted Vessel,,el_GR,
266,Painted Vessel,,el_GR,
267,Painted Vessel,,el_GR,
268,Painted Vessel,,el_GR,
269,Pottery,,el_GR,
270,Quartzite Sculpture,,ar_EG,
271,Relief,,fa_FA,
272,Relief Vessel,,el_GR,
273,Rock Relief,,fa_FA,
274,Sandstone Colossi,,ar_EG,
275,Sandstone Pillar Sculpture,,ar_EG,
276,Sandstone Relief,,ar_IQ,
277,Sandstone Sculpture,,ar_EG,
278,Sandstone Sculpture,,ar_EG,
279,Silver Sculpture,,fa_FA,
280,Stone Relief,,ar_EG,
281,Stone Sculpture,,af_ZA,
282,Terracotta Sarcophagus,,it_IT,
283,Terracotta Statue,,it_IT,
284,Tufa Sarcophagus,,it_IT,
285,Vase,,ar_IQ,
286,Wall Painting,,tr_TR,
287,Wall Painting,,ar_EG,
288,Wall Painting,,it_IT,
289,Wall Painting,,it_IT,
290,Wall Painting,,it_IT,
291,Wall Painting,,it_IT,
292,Wood Sculpture,,ar_EG,
